CustomerID,Gender,Income,SpendingScore,EducationLevel,MaritalStatus,PurchaseFrequency,ProductCategory,LoyaltyScore,EmploymentStatus,HouseholdSize,CreditScore,OnlineShoppingHabit,DiscountSensitivity,PreferredPaymentMethod,SubscriptionStatus
1,Female,43804,34,Master,Single,22,Furniture,3,Employed,2,677,High,Medium,Credit Card,No
2,Female,80368,29,Bachelor,Single,25,Furniture,46,Employed,3,527,Medium,High,Credit Card,No
3,Female,54685,2,Bachelor,Married,23,Sports,100,Employed,1,773,Low,Medium,Credit Card,No
4,Female,57613,99,Bachelor,Single,28,Furniture,63,Student,5,665,High,Medium,Credit Card,No
5,Male,60204,35,Bachelor,Divorced,24,Groceries,8,Employed,4,383,Low,High,Installments,No
6,Female,68209,12,High School,Divorced,13,Beauty,30,Employed,5,618,Medium,Medium,PayPal,Yes
7,Female,46557,79,High School,Married,24,Groceries,32,Unemployed,1,736,Medium,Medium,PayPal,Yes
8,Male,57681,34,Master,Single,28,Sports,63,Employed,1,301,High,Low,Installments,No
9,Female,58821,78,Bachelor,Single,8,Sports,62,Retired,1,702,Low,Medium,Credit Card,No
10,Female,26605,14,PhD,Divorced,21,Furniture,72,Employed,2,717,Low,Low,Cash,Yes
11,Male,42685,15,Master,Divorced,19,Fashion,76,Student,3,468,Medium,Medium,Credit Card,No
12,Male,47536,79,Bachelor,Divorced,28,Sports,5,Employed,1,511,Medium,High,Credit Card,Yes
13,Female,64844,20,Bachelor,Single,18,Groceries,10,Student,1,809,High,High,Installments,No
14,Female,102375,13,Bachelor,Single,23,Groceries,99,Unemployed,2,850,Medium,Low,Installments,No
15,Female,43448,74,Bachelor,Divorced,1,Beauty,37,Employed,1,749,Low,Low,Credit Card,No
16,Female,42815,28,High School,Single,16,Beauty,9,Employed,5,602,Low,High,Cash,No
17,Male,56634,42,Bachelor,Married,6,Fashion,58,Unemployed,4,803,Low,High,Credit Card,No
18,Male,24115,73,Bachelor,Married,2,Fashion,91,Student,1,798,High,Low,Credit Card,No
19,Female,23228,35,Bachelor,Divorced,25,Groceries,1,Retired,3,685,Low,High,Cash,No
20,Female,47939,47,Bachelor,Single,4,Electronics,3,Retired,5,755,High,Medium,Credit Card,No
21,Female,41875,81,PhD,Divorced,12,Groceries,28,Employed,2,808,Medium,Medium,PayPal,No
22,Female,66756,54,Bachelor,Single,8,Sports,34,Employed,2,380,Low,Medium,Credit Card,No
23,Female,44409,54,Bachelor,Single,1,Furniture,39,Employed,1,300,Low,Medium,Credit Card,Yes
24,Male,30405,12,High School,Married,9,Fashion,59,Student,1,516,High,Medium,PayPal,Yes
25,Male,34731,79,Bachelor,Single,5,Fashion,32,Employed,4,370,Medium,High,Cash,No
26,Male,67827,5,High School,Single,19,Groceries,13,Employed,2,375,Medium,Medium,PayPal,No
27,Male,39055,1,High School,Married,11,Sports,10,Employed,2,453,Medium,Low,Credit Card,No
28,Female,44831,82,Bachelor,Divorced,4,Sports,71,Employed,2,617,Medium,Medium,Credit Card,No
29,Male,45459,80,High School,Single,14,Electronics,68,Employed,2,587,Medium,Medium,Credit Card,Yes
30,Female,41264,93,Bachelor,Married,18,Groceries,82,Employed,4,572,Medium,High,Credit Card,No
31,Female,54580,31,High School,Married,3,Furniture,61,Employed,2,692,High,Medium,PayPal,No
32,Female,76578,56,High School,Married,25,Furniture,94,Employed,1,594,Low,Medium,Credit Card,No
33,Male,58275,98,High School,Single,11,Furniture,63,Retired,3,763,Medium,Low,Credit Card,No
34,Male,62319,10,High School,Married,10,Groceries,30,Employed,2,717,Low,High,Cash,No
35,Female,35537,67,Master,Divorced,7,Electronics,22,Employed,1,359,Medium,Medium,Credit Card,No
36,Female,55574,63,High School,Single,17,Groceries,43,Employed,5,514,Medium,Low,PayPal,Yes
37,Female,70522,25,High School,Married,29,Furniture,35,Student,4,838,Low,Medium,PayPal,No
38,Female,46518,6,High School,Single,9,Fashion,55,Retired,4,372,Medium,Medium,Cash,No
39,Male,49937,47,Bachelor,Single,20,Groceries,37,Employed,5,434,Low,Medium,Installments,Yes
40,Male,61455,55,Master,Married,21,Electronics,37,Employed,5,589,Low,High,Cash,No
41,Female,72949,9,Bachelor,Single,25,Beauty,78,Employed,2,558,High,Low,Cash,No
42,Male,67803,13,Bachelor,Single,9,Fashion,77,Employed,1,390,High,Low,Credit Card,No
43,Female,30985,56,Bachelor,Single,6,Beauty,87,Employed,4,365,High,Medium,Installments,No
44,Female,55048,48,Bachelor,Divorced,26,Fashion,91,Employed,3,339,Medium,Medium,Credit Card,No
45,Male,40904,64,High School,Divorced,20,Furniture,40,Unemployed,4,801,Low,Low,PayPal,No
46,Male,45181,49,Bachelor,Single,4,Fashion,64,Employed,4,702,Low,High,Installments,No
47,Female,30449,24,High School,Single,18,Furniture,80,Employed,5,622,High,Low,Cash,No
48,Female,46004,24,Bachelor,Married,14,Beauty,82,Employed,3,620,High,Medium,Cash,Yes
49,Female,37239,80,High School,Married,25,Beauty,7,Employed,5,840,High,Medium,PayPal,No
50,Male,47595,25,Bachelor,Single,3,Furniture,89,Unemployed,1,334,High,Medium,Credit Card,Yes
51,Male,57388,3,Bachelor,Divorced,12,Fashion,62,Employed,5,567,Low,Low,Cash,No
52,Female,54238,22,High School,Married,1,Electronics,48,Employed,5,542,Low,Low,Cash,No
53,Male,63277,32,Master,Married,27,Beauty,89,Employed,4,379,Low,Low,Credit Card,Yes
54,Female,42695,79,Bachelor,Single,25,Furniture,51,Employed,1,653,Low,Low,Credit Card,No
55,Male,24658,47,Bachelor,Divorced,8,Electronics,62,Employed,2,365,Medium,Medium,Installments,No
56,Female,73950,76,Bachelor,Married,24,Electronics,20,Unemployed,5,433,Medium,Medium,Cash,Yes
57,Male,58218,25,Bachelor,Single,21,Furniture,36,Employed,3,632,Medium,Medium,Credit Card,Yes
58,Female,58915,37,High School,Married,27,Electronics,71,Student,4,741,Low,Medium,Credit Card,Yes
59,Female,58089,16,PhD,Married,24,Electronics,21,Employed,4,413,Medium,Medium,Credit Card,No
60,Male,53867,66,Master,Single,7,Furniture,86,Employed,1,460,High,Low,Installments,No
61,Male,64872,100,High School,Married,2,Beauty,8,Employed,4,426,Medium,High,Cash,Yes
62,Female,40155,82,High School,Single,12,Beauty,11,Employed,4,390,High,Low,PayPal,No
63,Male,61836,88,High School,Married,20,Fashion,47,Employed,3,775,Medium,Low,Credit Card,No
64,Female,55340,51,High School,Married,25,Electronics,92,Employed,5,644,High,Low,Credit Card,Yes
65,Male,51972,95,Bachelor,Married,6,Fashion,18,Employed,2,748,Low,High,Credit Card,Yes
66,Male,42644,34,Bachelor,Single,2,Sports,43,Employed,2,499,High,High,Cash,No
67,Female,53763,36,High School,Married,16,Furniture,74,Employed,1,307,Low,Low,PayPal,No
68,Female,46877,76,Bachelor,Single,23,Fashion,2,Employed,3,586,Medium,High,Credit Card,No
69,Male,62841,67,Master,Married,22,Furniture,71,Employed,5,664,Medium,Low,Cash,Yes
70,Male,43066,62,Master,Single,25,Furniture,58,Employed,1,340,Medium,Medium,Credit Card,No
71,Male,34542,17,High School,Married,1,Sports,91,Employed,1,451,High,Medium,Credit Card,Yes
72,Male,58474,77,High School,Single,8,Furniture,62,Student,4,365,Low,Medium,PayPal,No
73,Male,81608,99,High School,Married,14,Fashion,87,Retired,4,494,High,Medium,PayPal,No
74,Female,53844,41,Bachelor,Single,19,Electronics,2,Retired,1,387,High,Low,Credit Card,Yes
75,Male,47827,96,PhD,Married,17,Sports,69,Employed,4,431,High,Medium,Cash,No
76,Male,76827,53,High School,Married,9,Electronics,42,Employed,3,718,Medium,Medium,Cash,Yes
77,Female,56892,84,Bachelor,Married,20,Furniture,56,Employed,2,647,Low,Low,Cash,No
78,Male,47774,84,Bachelor,Married,5,Electronics,55,Student,3,585,High,Low,Cash,No
79,Female,75736,52,Bachelor,Married,19,Groceries,39,Unemployed,1,815,Medium,Low,Credit Card,No
80,Female,38936,79,High School,Married,16,Fashion,17,Student,3,734,Medium,Low,Cash,No
81,Male,45001,17,High School,Married,24,Electronics,100,Retired,5,321,High,High,Credit Card,No
82,Female,55087,32,Master,Married,4,Beauty,37,Student,1,452,High,High,Credit Card,Yes
83,Female,92383,66,Bachelor,Single,26,Furniture,67,Employed,5,760,High,High,Installments,No
84,Female,36115,43,Bachelor,Single,24,Beauty,61,Unemployed,2,723,High,High,Installments,No
85,Female,32988,16,Bachelor,Single,3,Sports,53,Employed,5,765,Low,Medium,Cash,Yes
86,Female,53396,82,Bachelor,Married,25,Sports,61,Retired,1,710,Low,Medium,PayPal,No
87,Male,72343,90,Bachelor,Married,12,Fashion,35,Student,2,704,Medium,Medium,PayPal,No
88,Male,63550,80,High School,Married,19,Beauty,61,Employed,3,579,High,Low,Credit Card,No
89,Male,39903,97,High School,Married,7,Sports,89,Employed,3,769,Low,Low,Credit Card,Yes
90,Female,32768,63,High School,Single,15,Furniture,18,Employed,5,619,Medium,High,PayPal,No
91,Female,40170,93,PhD,Single,8,Furniture,5,Unemployed,5,432,Low,Medium,PayPal,Yes
92,Male,51564,56,High School,Married,23,Furniture,72,Employed,3,836,High,Low,Credit Card,Yes
93,Male,54704,69,High School,Married,10,Groceries,95,Employed,4,364,Low,Low,PayPal,No
94,Female,46374,2,Bachelor,Married,18,Electronics,2,Employed,5,563,Low,Medium,Credit Card,Yes
95,Male,46001,67,Bachelor,Married,19,Fashion,12,Employed,1,359,High,Medium,PayPal,Yes
96,Male,45882,42,Bachelor,Divorced,29,Fashion,97,Employed,4,435,Medium,Low,PayPal,No
97,Male,59071,8,Master,Single,29,Furniture,50,Employed,1,512,Medium,Medium,PayPal,No
98,Male,55230,52,High School,Married,13,Beauty,7,Employed,4,752,Medium,Medium,PayPal,No
99,Female,59335,12,High School,Divorced,26,Beauty,45,Student,4,572,Low,High,Installments,No
100,Female,55132,82,Bachelor,Single,17,Electronics,46,Employed,3,842,High,High,Credit Card,No
101,Male,21953,32,Bachelor,Divorced,12,Fashion,61,Student,2,821,Medium,Low,Credit Card,No
102,Female,50161,59,Bachelor,Single,14,Furniture,82,Employed,4,372,Low,Medium,Credit Card,No
103,Male,39951,68,Bachelor,Married,23,Groceries,83,Employed,1,336,Medium,Medium,Credit Card,Yes
104,Female,73727,11,Bachelor,Married,9,Fashion,16,Employed,4,648,Medium,Medium,PayPal,No
105,Male,32797,8,High School,Single,16,Furniture,80,Employed,1,574,High,High,Installments,No
106,Female,21317,92,PhD,Single,23,Fashion,5,Student,3,526,High,Medium,Credit Card,No
107,Male,61856,11,PhD,Single,24,Electronics,94,Student,5,460,Medium,High,PayPal,No
108,Male,53686,27,High School,Married,17,Fashion,24,Student,4,795,High,Medium,Credit Card,Yes
109,Female,52073,75,Bachelor,Married,23,Furniture,92,Employed,2,446,High,Low,Credit Card,No
110,Male,56074,58,High School,Married,22,Furniture,57,Employed,4,425,High,Medium,Credit Card,No
111,Female,48622,63,High School,Married,27,Groceries,3,Employed,3,491,Low,Medium,Credit Card,No
112,Male,43091,87,Bachelor,Married,20,Fashion,6,Student,4,392,High,Medium,Installments,Yes
113,Male,52503,81,Bachelor,Single,10,Furniture,1,Retired,3,842,High,High,Credit Card,Yes
114,Female,34084,50,High School,Single,3,Electronics,23,Employed,5,683,High,High,Cash,No
115,Female,72236,92,PhD,Married,13,Groceries,48,Retired,5,358,High,Medium,PayPal,No
116,Male,40216,29,Master,Single,9,Electronics,81,Employed,5,691,High,Medium,Credit Card,Yes
117,Male,31768,3,High School,Married,25,Groceries,23,Employed,4,464,Medium,Medium,Credit Card,No
118,Female,55813,49,Master,Single,21,Sports,56,Employed,1,676,Medium,High,Installments,Yes
119,Male,37600,58,Bachelor,Married,5,Sports,45,Employed,3,828,High,Medium,Credit Card,No
120,Female,67921,40,Master,Single,13,Beauty,4,Unemployed,5,419,High,Low,Cash,No
121,Female,20080,36,Master,Single,6,Fashion,12,Retired,2,340,High,Medium,Installments,No
122,Female,25250,80,PhD,Married,13,Groceries,73,Student,4,721,High,High,Cash,Yes
123,Female,44418,69,High School,Married,22,Fashion,22,Employed,2,536,Low,Low,PayPal,Yes
124,Female,51955,44,Bachelor,Single,11,,66,Employed,4,529,Medium,Low,Credit Card,No
125,Male,38910,13,Master,Single,28,Groceries,1,Employed,1,409,High,High,Cash,Yes
126,Male,46008,24,Bachelor,Married,17,Beauty,81,Employed,5,437,Medium,Medium,Credit Card,No
127,Male,75939,73,High School,Single,8,Electronics,33,Retired,4,793,High,High,Credit Card,No
128,Male,39483,94,Bachelor,Single,11,Electronics,49,Unemployed,3,383,Medium,Medium,Installments,No
129,Male,25849,51,Bachelor,Married,23,Fashion,9,Student,1,410,High,High,Credit Card,No
