CustomerID,Gender,Income,SpendingScore,EducationLevel,MaritalStatus,PurchaseFrequency,ProductCategory,LoyaltyScore,EmploymentStatus,HouseholdSize,CreditScore,OnlineShoppingHabit,DiscountSensitivity,PreferredPaymentMethod,SubscriptionStatus,Income_scaled,SpendingScore_scaled,PurchaseFrequency_scaled,Cluster_Description,Cluster
1,Female,43804.0,34.0,Master,Single,22.0,Furniture,3.0,Employed,2.0,677.0,High,Medium,Credit Card,No,-0.43524535659534574,-0.5724504802275839,0.8392306516787551,"Thu nhập và chi tiêu đều thấp, tần suất mua hàng nhiều. Nên tập trung vào các chương trình khuyến mãi lớn hoặc ưu đãi giá rẻ.",4
2,Female,80368.0,29.0,Bachelor,Single,25.0,Furniture,46.0,Employed,3.0,527.0,Medium,High,Credit Card,No,2.017315618549246,-0.7472496193977463,1.1979380675693976,"Thu nhập cao, chi tiêu thấp, tần suất mua hàng nhiều. Có thể cần chiến lược khuyến khích chi tiêu thông qua chương trình ưu đãi hấp dẫn.",2
3,Female,54685.0,2.0,Bachelor,Married,23.0,Sports,100.0,Employed,1.0,773.0,Low,Medium,Credit Card,No,0.2946068469531802,-1.691164970916623,0.9587997903089693,"Thu nhập trung bình, chi tiêu thấp, tần suất mua hàng nhiều. Cần gợi ý sản phẩm thiết yếu có giá hợp lý.",4
4,Female,57613.0,99.0,Bachelor,Single,28.0,Furniture,63.0,Student,5.0,665.0,High,Medium,Credit Card,No,0.4910049033809059,1.6999383289845265,1.5566454834600403,"Thu nhập trung bình nhưng chi tiêu cao, tần suất mua hàng nhiều. Cơ hội upsell tốt với các gói giá trị cao hơn hoặc quảng bá sản phẩm cao cấp.",0
5,Male,60204.0,35.0,Bachelor,Divorced,24.0,Groceries,8.0,Employed,4.0,383.0,Low,High,Installments,No,0.6647984020845389,-0.5374906523935514,1.0783689289391836,"Thu nhập trung bình, chi tiêu thấp, tần suất mua hàng nhiều. Cần gợi ý sản phẩm thiết yếu có giá hợp lý.",4
6,Female,68209.0,12.0,High School,Divorced,13.0,Beauty,30.0,Employed,5.0,618.0,Medium,Medium,PayPal,Yes,1.2017404928304216,-1.3415666925762983,-0.23689159599317272,"Thu nhập trung bình, chi tiêu thấp, tần suất mua hàng trung bình. Cần gợi ý sản phẩm thiết yếu có giá hợp lý.",1
7,Female,46557.0,79.0,High School,Married,24.0,Groceries,32.0,Unemployed,1.0,736.0,Medium,Medium,PayPal,Yes,-0.2505855719828017,1.0007417723038772,1.0783689289391836,"Thu nhập thấp nhưng chi tiêu cao, tần suất mua hàng nhiều. Khách hàng có nhu cầu cao, có thể gợi ý sản phẩm giá phù hợp hoặc chương trình trả góp.",0
8,Male,57681.0,34.0,Master,Single,28.0,Sports,63.0,Employed,1.0,301.0,High,Low,Installments,No,0.4955660604290908,-0.5724504802275839,1.5566454834600403,"Thu nhập trung bình, chi tiêu thấp, tần suất mua hàng nhiều. Cần gợi ý sản phẩm thiết yếu có giá hợp lý.",4
9,Female,58821.0,78.0,Bachelor,Single,8.0,Sports,62.0,Retired,1.0,702.0,Low,Medium,Credit Card,No,0.5720325168251316,0.9657819444698447,-0.8347372891442437,"Thu nhập trung bình nhưng chi tiêu cao, tần suất mua hàng ít. Cơ hội upsell tốt với các gói giá trị cao hơn hoặc quảng bá sản phẩm cao cấp.",0
10,Female,26605.0,14.0,PhD,Divorced,21.0,Furniture,72.0,Employed,2.0,717.0,Low,Low,Cash,Yes,-1.5888827105914027,-1.2716470369082333,0.7196615130485409,"Thu nhập và chi tiêu đều thấp, tần suất mua hàng nhiều. Nên tập trung vào các chương trình khuyến mãi lớn hoặc ưu đãi giá rẻ.",3
11,Male,42685.0,15.0,Master,Divorced,19.0,Fashion,76.0,Student,3.0,468.0,Medium,Medium,Credit Card,No,-0.5103032203735647,-1.236687209074201,0.4805232357881125,"Thu nhập và chi tiêu đều thấp, tần suất mua hàng trung bình. Nên tập trung vào các chương trình khuyến mãi lớn hoặc ưu đãi giá rẻ.",4
12,Male,47536.0,79.0,Bachelor,Divorced,28.0,Sports,5.0,Employed,1.0,511.0,Medium,High,Credit Card,Yes,-0.18491832565672808,1.0007417723038772,1.5566454834600403,"Thu nhập thấp nhưng chi tiêu cao, tần suất mua hàng nhiều. Khách hàng có nhu cầu cao, có thể gợi ý sản phẩm giá phù hợp hoặc chương trình trả góp.",0
13,Female,64844.0,20.0,Bachelor,Single,18.0,Groceries,10.0,Student,1.0,809.0,High,High,Installments,No,0.9760302947842135,-1.0618880699040385,0.3609540971578983,"Thu nhập trung bình, chi tiêu thấp, tần suất mua hàng trung bình. Cần gợi ý sản phẩm thiết yếu có giá hợp lý.",4
14,Female,102375.0,13.0,Bachelor,Single,23.0,Groceries,99.0,Unemployed,2.0,850.0,Medium,Low,Installments,No,3.493453606187552,-1.3066068647422657,0.9587997903089693,"Thu nhập cao, chi tiêu thấp, tần suất mua hàng nhiều. Có thể cần chiến lược khuyến khích chi tiêu thông qua chương trình ưu đãi hấp dẫn.",2
